WALL, ROOM, lettuce, sandwich, dog, cat, wheel, car, song, dance, C
MATCH, FIRE, bag, wallet, key, car, gas, machine, cookie, mouth, B
CANDY, SWEET, water, cold, time, fast, money, clean, fire, hot, D
HUGE, BIG, nice, good, tiny, small, funny, happy, old, new, B
TEACHER, EDUCATE, doctor, heal, farmer, talk, engine, oil, dog, sit, A
UGLY, BEAUTY, serious, humor, old, age, hot, heat, sweet, strength, A
HILARIOUS, FUNNY, right, wrong, hard, boring, nice, crazy, great, good, D
PLAY, WORK, laugh, cry, eat, talk, run, walk, see, hear, A
EYES, SEE, hands, cry, ears, hear, feet, talk, teeth, think, B
HAM, MEAT, air, water, tennis, school, juice, drink, math, number, C
MUSICIAN, MUSIC, shower, water, chef, food, machine, snow, child, art, B
WHALE, OCEAN, car, garage, snake, ocean, tiger, jungle, chair, table, C
TERRIFIED, SCARED, quiet, secret, sweet, rich, obsessed, interested, funny, serious, C
SAD, HAPPINESS, weak, strength, sweet, flavor, fast, time, pretty, beauty, A
TONGUE, TASTE, boat, swim, bed, sit, bag, buy, nose, smell, D
CHAIR, SIT, cup, drink, bottle, break, book, read, eye, listen, A
WRENCH, TOOL, cow, milk, radio, sound, tree, forest, carrot, vegetable, D
TINY, LITTLE, huge, big, long, tall, small, loud, neat, messy, A
POOR, MONEY, tired, energy, angry, emotion, hot, ice, hungry, water, A
SAFE, DANGEROUS, silent, noisy, upset, late, wise, smart, fast, quick, A
GREAT, GOOD, fun, cool, strange, weird, hot, warm, dull, sharp, C
BEAUTIFUL, PRETTY, terrible, bad, brave, valiant, new, old, tall, skinny, A
RING, FINGER, necklace, neck, bracelet, diamond, sock, hand, glove, foot, A
CORRECT, RIGHT, crazy, smart, weak, fun, strong, hard, cheap, inexpensive, D
SHOE, FOOT, boot, hand, glove, wrist, hat, head, sock, leg, C
PUPPY, DOG, kitten, cat, bear, cub, fish, minnow, cow, calf, A
ROCK, HARD, water, wet, table, wooden, mom, nice, sound, loud, A
SICK, HEALTH, sad, emotion, tall, intelligence, scared, courage, smart, energy, C
HAMMER, HIT, knife, cut, table, eat, pen, build, wheel, race, A
SHIELD, PROTECT, computer, talk, vehicle, transport, pencil, make, song, sing, B
BIRD, FLY, horse, ride, tree, run, fish, swim, arm, dance, C
ORGANIZED, NEAT, ugly, pretty, fun, good, disgusting, sour, transparent, clear, D
SHARK, FISH, sausage, vegetable, tulip, flower, aunt, uncle, mouse, rat, B
BRANCH, TREE, lemon, fruit, leg, chair, plant, flower, road, car, B
DEAD, LIFE, cold, temperature, perfect, error, loud, noise, yellow, color, B
SHOVEL, DIG, bus, run, pencil, write, hat, protect, fork, take, B
PILOT, AIRPLANE, driver, ship, conductor, train, bicycle, car, passenger, bus, B
NEAR, FAR, gray, black, right, wrong, cold, freezing, good, fun, B
CHESS, GAME, checkers, basketball, kid, child, man, woman, tennis, sport, D
WIN, LOSE, play, learn, buy, sell, see, hear, like, love, B
ROBIN, BIRD, pear, fruit, cucumber, onion, cow, calf, lamp, table, A
BEES, HIVE, cows, city, birds, nest, snakes, house, bears, hotel, B
GIANT, LARGE, scary, bad, new, expensive, great, good, funny, annoying, C
HARD, SOFT, fast, quick, smooth, straight, heavy, light, healthy, good, C
MAP, GUIDE, apartment, locate, bag, open, bed, read, towel, dry, D
APPLE, HEATHY, teacher, good, bed, comfortable, car, fast, rock, hard, D
SALESMAN, SELL, teacher, learn, mechanic, repair, lawyer, free, desk, hard, B
RARE, COMMON, shiny, bright, fake, phony, old, new, thin, skinny, C
CARROT, VEGETABLE, animal, horse, flute, instrument, fruit, apple, book, novel, B
SIDE, SQUARE, finger, hand, hat, suit, bird, tree, pencil, paper, A
FORK, EAT, calculator, think, phone, touch, flashlight, see, computer, drink, C
ECSTATIC, HAPPY, depressed, sad, thick, thin, terrible, easy, amazing, poor, A
STEAK, MEAT, nature, wood, water, food, transportation, street, anger, emotion, D
NICE, MEAN, bad, happy, crazy, funny, sad, happy, healthy, fun, C
EXHAUSTED, TIRED, ready, lazy, excited, boring, sweet, mean, starving, hungry, D
SHY, CONFIDENCE, smart, sense, hard, difficulty, cowardly, bravery, young, manners, C
ARTIST, PAINTBRUSH, lawyer, computer, dentist, teeth, teacher, apple, magician, wand, D
LETTER, WORD, brick, house, hat, suit, toe, foot, phone, room, C
DOG, PET, fire, water, cup, drink, drill, tool, car, bus, C
TUXEDO, FORMAL, car, fast, king, smart, ring, plain, diamond, hard, D
FURIOUS, ANGRY, sad, happy, cold, cool, crazy, entertaining, terrified, afraid, D
FIN, FISH, string, guitar, nose, bird, tail, human, pickle, sandwich, A
BLANKET, SOFT, money, rich, teacher, good, apple, ripe, circle, round, D
RICH, POOR, young, old, smart, tired, tall, angry, fun, nice, A
OBESE, OVERWEIGHT, guilty, wrong, funny, clever, hideous, ugly, rude, mean, C
DISORGANIZED, ORDER, intelligent, belief, heavy, power, insignificant, importance, delicious, flavor, C
BRUSH, PAINT, straw, drink, eraser, write, table, sit, key, turn, A
MOUNTAIN, TALL, game, fun, ring, expensive, car, fast, rainbow, colorful, D
HOCKEY, SPORT, bus, car, rice, hunger, fight, war, chemistry, science, D
TEETH, CHEW, clouds, fly, hands, run, cats, scratch, legs, walk, D
JOY, EMOTION, food, beverage, air, water, pain, feeling, money, product, C
DANGEROUS, SAFE, hard, nice, easy, difficult, strong, thin, organized, orderly, B
LAZY, AMBITION, bald, hair, strong, confidence, thirsty, food, rich, wealth, A
POTATO, VEGETABLE, fish, shark, peach, fruit, bus, car, play, actress, B
SCALE, WEIGHT, thermometer, temperature, ruler, time, compass, location, calculator, money, A
BALL, ROUND, dog, friendly, computer, expensive, feather, light, car, blue, C
STRANGE, NORMAL, scared, angry, unhappy, sad, nervous, young, new, old, D
IGNORANT, KNOWLEDGE, scared, courage, old, health, nice, power, crazy, happiness, A
BRILLIANT, INTELLIGENT, devastated, disappointed, talented, skilled, bored, intrigued, motivated, dedicated, A
STRING, GUITAR, shoe, pants, wheel, bicycle, candle, table, picture, wall, B
RAZOR, SHAVE, hair, comb, knife, cut, boat, drive, fork, drink, B
DRY, MOISTURE, light, height, cold, warmth, healthy, meat, happy, weakness, B
THEFT, CRIME, winter, season, glass, window, chicken, beverage, air, cloud, A
MILK, WHITE, traffic, heavy, science, boring, candy, good, honey, sticky, D
FULL, EMPTY, boring, exciting, sweet, tasty, loud, intense, new, young, A
PEN, WRITE, shovel, dig, spoon, drink, bath, shower, door, open, A
MATTRESS, BED, drain, sink, chair, table, television, computer, lamp, light, A
CLOCK, TIME, building, height, ruler, length, pool, depth, sun, light, B
SATURDAY, WEEKEND, November, December, Wednesday, night, today, afternoon, January, winter, D
WAR, PEACE, weather, clouds, math, fun, joy, sadness, socks, warmth, C
POT, COOK, camera, take, broom, sweep, rock, play, piano, sing, B
CUSHION, SOFA, faucet, sink, toilet, kitchen, necklace, dress, dollar, wallet, A
JAZZ, MUSIC, silver, metal, window, glass, water, pool, juice, fruit, A
ANCIENT, OLD, crazy, unhealthy, delicious, tasty, smart, intelligent, rusty, old, B
BOULDER, HEAVY, ring, beautiful, steak, good, beach, sunny, mountain, tall, D
MIRCROSCOPE, EXAMINE, letter, communicate, sweater, knit, ball, hit, game, score, A
ICE, SLIPPERY, basketball, fun, cake, delicious, paper, thin, chalk, white, C
DEPRESSED, SAD, peaceful, bored, sweet, strong, ready, anxious, elated, happy, D
