VITRIOL, SPITEFUL, hindsight, perfect, alabaster, white, buoyancy, light, equilibrium, just, jubilation, biblical, B
INVECTIVE, BLAME, homage, copy, grandeur, admire, duplicity, increase, depravity, corrupt, masonry, construct, E
VERNACULAR, REGIONAL, leaf, autumnal, senator, dissentious, fluctuation, irregular, budget, austere, autopsy, fatal, C
VIRULENT, POISONOUS, autonomous, free, disparate, distinct, botanical, flowery, dormant, tired, unique, eccentric, B
GRENADIER, ARMY, inkling, pen, wheelchair, paraplegic, couch, lethargy, count, nobility, insurrection, government, D
FAKE, AUTHENTICITY, latent, manifestation, impenetrable, defense, lacteal, milk, preponderant, thought, retrograde, direction, A
NEFARIOUS, VIRTUOUS, stringent, solid, subliminal, secret, reticent, talkative, jocular, humorous, haggard, old, C
CASTIGATE, CRITICIZE, dishevel, destroy, brutalize, bully, legalize, filibuster, predict, forecast, kill, massacre, B
POWERLESS, EFFICACY, turbulent, violence, anomalous, irregularity, homogenous, similarity, effluent, water, explicit, ambiguity, E
RIVULET, SMALL, dissertation, plagiarized, bird, fledgling, bankruptcy, indebted, hooligan, athletic, citadel, fortified, E
WRETCHED, CHEERFUL, territorial, terrestrial, innocuous, dangerous, floundering, struggling, redacted, censored, solitary, confined, B
LEVEL, HIERARCHY, installment, serial, halo, messiah, vinaigrette, salad, courtroom, drama, misnomer, definition, A
PECCADILLO, SIN, masquerade, party, peasant, serf, sarcophagus, funeral, letdown, devastation, hex, wizard, A
TYRO, INEXPERIENCED, headmaster, principled, scapegoat, blameworthy, forgery, valuable, sycophant, servile, risk, worthwhile, D
BLANDISHMENT, COAX, directory, telephone, pavilion, promenade, surplus, squander, eulogy, praise, controversy, placate, D
PRAGMATISM, PHILOSOPHY, elevation, pinnacle, envy, sin, electricity, outlet, cacophony, opera, chemistry, element, B
SECT, RELIGION, fresco, painting, foreground, landscape, benefactor, fortune, mandate, ruler, diet, nutrient, B
DECANTER, POUR, monument, venerate, criminal, deviate, nunnery, convert, pharmacy, proscribe, stiletto, walk, A
UNPRECEDENTED, FORERUNNERS, unnecessary, prerequisites, nauseating, medicine, bloodthirsty, anemia, holistic, proof, adulterated, purity, E
ERUDITE, UNEDUCATED, fiery, flagrant, fervid, dispassionate, loquacious, talkative, gullible, naive, dissonant, discordant, B
TRUISM, OBVIOUS, waiver, safe, president, tyrannical, daredevil, audacious, novel, ingenuous, pedant, imaginative, C
LACONIC, CONCISE, obdurate, cooperative, ephemeral, fleeting, malleable, unchanging, vindictive, forgiving, equivocal, certain, B
LIE, PREVARICATE, betray, trust, philander, donate, waver, falter, deride, praise, corroborate, doubt, C
CONCESSION, PLACATE, woman, engender, gun, bolster, catalyst, precipitate, workout, enervate, lawyer, mitigate, C
CELLO, PLAYED, tractor, pulled, bomb, detonated, scientist, discovered, city, populated, restaurant, eaten, B
