PRIZE, CONTESTANT, trophy, presenter, diploma, principal, medal, runner, book, author, mortgage, lender, C
CLASSROOM, STUDENTS, podium, lecturers, stadium, athletes, cafeteria, trays, garage, vehicles, auditorium, ushers, B
ENDORSE, CANDIDATE, sign, affidavit, endure, trial, idolize, celebrity, espouse, idea, devise, plan, D
STUDY, TEST, script, composition, rehearse, performance, interpret, decision, operate, cure, record, parody, B
CHRONICLE, JOURNEY, assume, debt, enumerate, demands, banish, doubts, juxtapose, positions, clarify, intentions, B
ANNOTATE, ESSAY, elevate, level, research, theory, abridge, chapter, elaborate, plan, mitigate, damage, D
CAPRICIOUS, IMPULSIVE, magnanimous, generous, articulate, critical, petty, deceptive, diligent, precise, provocative, appealing, A
NOTES, SONG, conductors, orchestra, pictures, frame, keys, door, lawyers, courtroom, ingredients, recipe, E
MARATHON, RACE, victory, competition, sprint, finish, filibuster, speech, novel, author, deposition, question, C
CASTLE, MOAT, island, ocean, king, soldier, school, playground, embryo, placenta, bacteria, germ, D
BLIZZARD, SNOW, harvest, garden, flood, lake, water, ice, exhibits, zoo, deluge, rain, E
APATHETIC, EMOTION, eloquent, precision, lenient, permanence, perceptive, awareness, zealous, passion, glib, sincerity, E
EXULTANT, KUDOS, focused, support, joyful, praise, honorable, criticism, enigmatic, puzzles, exceptional, qualities, B
NOXIOUS, POISON, egregious, crime, benign, leader, dubious, concoction, judicious, statement, pragmatic, decision, A
UTILITARIAN, QUIXOTIC, disconcerting, unsettling, ephemeral, fleeting, malevolent, kind, loquacious, talkative, obdurate, stubborn, C
PLAGIARIZE, STEAL, hoard, dispel, placate, provoke, concentrate, refine, ostracize, exclude, perjure, testify, D
CHISEL, CARVE, athlete, compete, courtroom, judge, artist, sculpt, rake, forage, scalpel, operate, E
PHILANTHROPIST, MUNIFICENCE, skeptic, disbelief, symptom, treatment, cynic, melancholy, aristocrat, gratitude, anomaly, plausibility, A
ARTICULATE, MURKY, credulous, amiable, desiccated, moist, formidable, dark, derelict, neglectful, opaque, milky, B
PHLEGMATIC, EXCITEMENT, insolent, respect, penurious, frugality, fractious, sarcasm, timorous, trepidation, sagacious, wisdom, A
MERCENARY, SOLDIER, amateur, artist, apprentice, student, pedant, teacher, demagogue, leader, hack, writer, E
INSTIGATOR, INCITE, accomplice, threaten, adjudicator, quarrel, employee, strike, bully, browbeat, lawyer, enact, D
ANECDOTE, AMUSEMENT, parable, brevity, lecture, instruction, harangue, complacency, caption, illustration, slogan, repetition, B
INEXORABLE, DISSUASION, indomitable, conquest, invulnerable, protection, insatiable, nourishment, unfathomable, mystery, unthinkable, custom, A
SONNET, POET, stage, actor, orchestra, conductor, music, dancer, canvas, painter, symphony, composer, E
CRAVEN, ADMIRABLE, unruly, energetic, listless, attractive, deft, awkward, trifling, amusing, volatile, passionate, C
INVENTORY, MERCHANDISE, entry, ledger, number, set, photograph, negative, order, receipt, manifest, cargo, E
PATRONIZE, CONDESCENSION, exasperate, anger, deride, mockery, compensate, apology, hurry, decision, encroach, fearlessness, B
MAELSTROM, TURBULENT, stricture, imperative, mirage, illusory, antique, rare, myth, authentic, verdict, fair, B
ETCH, CORROSIVE, shrink, diminutive, destroy, worthless, glue, adhesive, sculpt, malleable, polish, glossy, C
ATROCIOUS, BAD, excessive, adequate, momentous, important, unavailing, helpful, contagious, diseased, nominal, satisfactory, B
SCHOLARLY, PEDANTIC, thrifty, extravagant, tactful, diplomatic, modest, prudish, generous, philanthropic, timorous, doubtful, C
POTABLE, BEVERAGE, attainable, effort, indigestible, food, quantifiable, phenomenon, containable, impatience, habitable, dwelling, E
ANONYMOUS, IDENTIFY, nonchalant, excite, repressed, constrain, misled, trust, annoying, assist, unremarkable, please, A
EMBARRASS, SHAME, coax, reluctance, sleep, fatigue, doubt, uncertainty, belittle, condescension, console, comfort, E
PESTLE, GRIND, whetstone, sharpen, balloon, float, mill, turn, hinge, fasten, switch, conduct, A
ENTHUSIASM, MANIA, idea, inspiration, nightmare, hallucination, failure, disgust, suspicion, paranoia, energy, fitness, D
INURED, TOLERANCE, sensitized, generosity, disinterested, dishonesty, addicted, dependency, satisfied, apathy, embarrassed, scrutiny, C
INSTRUMENTALIST, SYMPHONY, author, drama, photographer, cinema, composer, concerto, artist, painting, dancer, ballet, E
SYNOPSIS, CONCISENESS, distillate, purity, mutation, viability, replication, precedence, illusion, quickness, icon, charity, A
MIRTH, LAUGHTER, uncertainty, nod, approval, applause, danger, alarm, labor, sweat, love, respect, B
PORE, MEMBRANE, mouth, lip, eyelid, eye, door, wall, tunnel, passage, tumbler, lock, C
IMMUTABLE, ALTERED, impassable, attempted, untenable, debated, dessicated, moistened, implacable, propitiated, unimpeachable, trusted, D
UNFLAPPABLE, UPSET, veracious, deceive, affable, befriend, vigorous, impede, ostentatious, influence, obstinate, persuade, E
VENIAL, EXCUSE, implausible, decry, experimental, explore, pellucid, understand, preponderant, balance, insidious, entrap, C
PRETENSE, DECEIVE, compunction, repel, admonition, reprove, restitution, forestall, hoax, entertain, ban, protect, B
CARTOGRAPHER, MAP, astronomer, stars, carpenter, wood, lumberjack, saw, tailor, clothing, weaver, loom, D
ANALGESIC, PAIN, sedative, sleep, stimulant, mood, antiseptic, odor, anesthetic, sensation, ointment, skin, D
PESTLE, GRIND, scissors, sharpen, spice, flavor, spoon, stir, hammer, swing, fan, rotate, C
TREE, FORESTRY, tractor, agriculture, experiment, laboratory, fuel, combustion, flower, horticulture, generator, electricity, D
ICONOCLAST, CONVENTION, tailor, robe, sycophant, passion, pariah, friendship, anarchist, government, firefighter, safety, D
ANGUISH, EMOTION, frenetic, fascination, money, compensation, data, dossier, cabbage, vegetable, burning, sensation, E
COVERT, SURREPTITIOUS, passive, forward, sociable, affable, causal, remorseful, taciturn, auspicious, outmoded, contemporary, B
GLUTTON, WILLPOWER, charlatan, hoax, traitor, fidelity, platoon, squad, savant, gumption, coward, courage, E
PROPAGANDA, OPINION, sermon, morality, existentialism, philosophy, newspaper, editorial, desiccant, moisture, institution, assignment, A
CONCERT, AUDIENCE, restaurant, waiters, orchestra, musicians, game, spectators, school, cheerleaders, zoo, keepers, C
WATER, RESERVOUR, oil, fuel, money, bank, lake, oceanl, parent, family, beach, inlet, B
WALK, PROWL, cheat, pretend, speak, shout, applaud, disapprove, listen, eavesdrop, smile, grin, D
STAGNANT, MOTION, arid, moisture, morbid, dread, neutral, balance, marred, fault, tilled, irrigation, A
RETOUCH, PICTURE, design, dress, orchestrate, song, publish, magazine, emend, text, concoct, pastry, D
CAMOUFLAGE, APPEARANCE, compensate, payment, decipher, experiment, hypothesis, bluff, intention, invest, chance, A
BIRD, MOLT, bear, hibernate, snake, slough, fish, catch, hawk, prey, rabbit, trap, C
INTROSPECTIVE, SELF, pompous, thoughts, conceited, others, miserly, accomplishments, impetuous, decisions, scrupulous, principles, E
INCITE, SEDITIONIST,  parade, heckler, assault, victor, abdicate, autocrat, arbitrate, mediator, donate, financier, B
